seriesId,seriesDescription,unit
FOREX_WORLD,"Nominal U.S. Dollar Index, 2015 Q1=100 (annual and quarterly data only)","Index, 2015 Q1 = 100"
FOREX_WORLD_PCT,"Nominal U.S. Dollar Exchange Rate, Percent Change From Prior Year",Percent
ZWHD_WSC_10YR,"Heating Degree Days W. S. Central, Prior 10-Year Average",total degree days
ZWHDPUS,Heating Degree Days U.S. Average ,total degree days
ZWCD_WSC_10YR,"Cooling Degree Days W. S. Central, Prior 10-Year Average",total degree days
ZWCDPUS,Cooling Degree Days U.S. Average,total degree days
ZO325IUS,Basic Chemical Manufacturing Production Index,"Index, 2017=100 (seasonally adjusted)"
ZO326IUS,Plastics and Rubber Products Production Index,"Index, 2017=100 (seasonally adjusted)"
WORLD_NC,World non-Crude Oil Liquids Production,million barrels per day
ZWHDPUS_PCT,Heating Degree Days U.S. Average ,Percent change from prior year
PAPR_AO,"Crude Oil and Liquid Fuels Supply, Angola",million barrels per day
NGIMPUS_LNG,Natural Gas LNG Gross Imports,billion cubic feet per day
NGRCU_WNC,"Retail Price of Natural Gas in Residential Sector, W. N. Central",dollars per thousand cubic feet
YD87OUS_PCT,Real Disposable Personal Income,Percent change from prior year
ZO322IUS,Paper and Allied Products Production Index,"Index, 2017=100 (seasonally adjusted)"
PAPR_EC,"Crude Oil and Liquid Fuels Supply, Ecuador",million barrels per day
PAPR_AJ,"Crude Oil and Liquid Fuels Supply, Azerbaijan",million barrels per day
COPS_SA,Saudi Arabia Spare Crude Oil Production Capacity,million barrels per day
ZWCD_WSC,Cooling Degree Days W. S. Central,total degree days
PRRCASO,Propane Retail Price Incl Taxes South,cents per gallon
ZWHD_ESC,Heating Degree Days E. S. Central,total degree days
PAPR_OPECPLUS_OPEC,OPEC+ Liquids Petroleum Production from OPEC Members Subject to OPEC+ Agreements,million barrels per day
COPR_NONOPEC,Non-OPEC Crude Oil Production,million barrels per day
COPS_TC,United Arab Emirates Spare Crude Oil Production Capacity,million barrels per day
PADI_VE,"Unplanned liquid fuel production disruptions, Venezuela",million barrels per day
MGTNIPUS,Total Motor Gasoline Net Imports,million barrels per day
COPC_AG,Algeria Crude Oil Production Capacity,million barrels per day
ZWHD_ESC_10YR,"Heating Degree Days E. S. Central, Prior 10-Year Average",total degree days
NONOPEC_NC,Non-OPEC non-Crude Oil Liquids Production,million barrels per day
PAPR_OFSU,"Crude Oil and Liquid Fuels Supply, Other Eurasia",million barrels per day
PADI_OPEC,"Unplanned crude oil production disruptions, Organization of the Petroleum Exporting Countries",million barrels per day
PAPR_CO,"Crude Oil and Liquid Fuels Supply, Colombia",million barrels per day
COPC_LY,Libya Crude Oil Production Capacity,million barrels per day
COPC_NI,Nigeria Crude Oil Production Capacity,million barrels per day
PAPR_OLA,"Crude Oil and Liquid Fuels Supply, Other Central and S. America",million barrels per day
PAPR_OPEC,Total OPEC Petroleum Supply,million barrels per day
ZWCD_SAC,Cooling Degree Days South Atlantic,total degree days
